,Year,Week,Attendance,Team
7945,2014,7,68756.0,New York Jets
7946,2014,8,78160.0,New York Jets
7947,2014,9,74127.0,New York Jets
7948,2014,10,78160.0,New York Jets
7949,2014,11,67582.63539030563,New York Jets
7950,2014,12,56044.0,New York Jets
7951,2014,13,78160.0,New York Jets
7952,2014,14,52152.0,New York Jets
7953,2014,15,69143.0,New York Jets
7954,2014,16,78160.0,New York Jets
7955,2014,17,70220.0,New York Jets
7956,2014,1,78160.0,Oakland Raiders
7957,2014,2,54063.0,Oakland Raiders
7958,2014,3,68756.0,Oakland Raiders
7959,2014,4,83436.0,Oakland Raiders
7960,2014,5,67582.63539030563,Oakland Raiders
7961,2014,6,53329.0,Oakland Raiders
7962,2014,7,52101.0,Oakland Raiders
7963,2014,8,67431.0,Oakland Raiders
7964,2014,9,68337.0,Oakland Raiders
7965,2014,10,54803.0,Oakland Raiders
7966,2014,11,66720.0,Oakland Raiders
7967,2014,12,52865.0,Oakland Raiders
7968,2014,13,55650.0,Oakland Raiders
7969,2014,14,55300.0,Oakland Raiders
7970,2014,15,72153.0,Oakland Raiders
7971,2014,16,53436.0,Oakland Raiders
7972,2014,17,76929.0,Oakland Raiders
7973,2014,1,69596.0,Philadelphia Eagles
7974,2014,2,64871.0,Philadelphia Eagles
7975,2014,3,69596.0,Philadelphia Eagles
7976,2014,4,70799.0,Philadelphia Eagles
7977,2014,5,69596.0,Philadelphia Eagles
7978,2014,6,69596.0,Philadelphia Eagles
7979,2014,7,67582.63539030563,Philadelphia Eagles
7980,2014,8,61789.0,Philadelphia Eagles
7981,2014,9,71780.0,Philadelphia Eagles
7982,2014,10,69596.0,Philadelphia Eagles
7983,2014,11,78270.0,Philadelphia Eagles
7984,2014,12,69596.0,Philadelphia Eagles
7985,2014,13,91379.0,Philadelphia Eagles
7986,2014,14,69596.0,Philadelphia Eagles
7987,2014,15,69596.0,Philadelphia Eagles
7988,2014,16,78897.0,Philadelphia Eagles
7989,2014,17,79150.0,Philadelphia Eagles
7990,2014,1,64598.0,Pittsburgh Steelers
7991,2014,2,71181.0,Pittsburgh Steelers
7992,2014,3,73945.0,Pittsburgh Steelers
7993,2014,4,62910.0,Pittsburgh Steelers
7994,2014,5,66198.0,Pittsburgh Steelers
7995,2014,6,67431.0,Pittsburgh Steelers
7996,2014,7,56375.0,Pittsburgh Steelers
7997,2014,8,62479.0,Pittsburgh Steelers
7998,2014,9,63971.0,Pittsburgh Steelers
7999,2014,10,78160.0,Pittsburgh Steelers
8000,2014,11,69143.0,Pittsburgh Steelers
8001,2014,12,67582.63539030563,Pittsburgh Steelers
8002,2014,13,61916.0,Pittsburgh Steelers
8003,2014,14,65512.0,Pittsburgh Steelers
8004,2014,15,71161.0,Pittsburgh Steelers
8005,2014,16,60865.0,Pittsburgh Steelers
8006,2014,17,64697.0,Pittsburgh Steelers
8007,2014,1,61292.0,San Diego Chargers
8008,2014,2,67916.0,San Diego Chargers
8009,2014,3,68611.0,San Diego Chargers
8010,2014,4,56553.0,San Diego Chargers
8011,2014,5,63471.0,San Diego Chargers
8012,2014,6,53329.0,San Diego Chargers
8013,2014,7,65260.0,San Diego Chargers
8014,2014,8,76907.0,San Diego Chargers
8015,2014,9,70222.0,San Diego Chargers
8016,2014,10,67582.63539030563,San Diego Chargers
8017,2014,11,66720.0,San Diego Chargers
8018,2014,12,66040.0,San Diego Chargers
8019,2014,13,71060.0,San Diego Chargers
8020,2014,14,68815.0,San Diego Chargers
8021,2014,15,68682.0,San Diego Chargers
8022,2014,16,70699.0,San Diego Chargers
8023,2014,17,73952.0,San Diego Chargers
8024,2014,1,91174.0,San Francisco 49ers
8025,2014,2,70799.0,San Francisco 49ers
8026,2014,3,61572.0,San Francisco 49ers
8027,2014,4,70799.0,San Francisco 49ers
8028,2014,5,70799.0,San Francisco 49ers
8029,2014,6,56851.0,San Francisco 49ers
8030,2014,7,77047.0,San Francisco 49ers
8031,2014,8,67582.63539030563,San Francisco 49ers
8032,2014,9,70799.0,San Francisco 49ers
8033,2014,10,73129.0,San Francisco 49ers
8034,2014,11,80352.0,San Francisco 49ers
8035,2014,12,70799.0,San Francisco 49ers
8036,2014,13,70799.0,San Francisco 49ers
8037,2014,14,55300.0,San Francisco 49ers
8038,2014,15,68526.0,San Francisco 49ers
8039,2014,16,70699.0,San Francisco 49ers
8040,2014,17,70699.0,San Francisco 49ers
8041,2014,1,68424.0,Seattle Seahawks
8042,2014,2,67916.0,Seattle Seahawks
8043,2014,3,68447.0,Seattle Seahawks
8044,2014,4,67582.63539030563,Seattle Seahawks
8045,2014,5,79522.0,Seattle Seahawks
8046,2014,6,68432.0,Seattle Seahawks
8047,2014,7,57855.0,Seattle Seahawks
8048,2014,8,74042.0,Seattle Seahawks
8049,2014,9,68337.0,Seattle Seahawks
8050,2014,10,68352.0,Seattle Seahawks
8051,2014,11,76463.0,Seattle Seahawks
8052,2014,12,68327.0,Seattle Seahawks
8053,2014,13,70799.0,Seattle Seahawks
8054,2014,14,69596.0,Seattle Seahawks
8055,2014,15,68526.0,Seattle Seahawks
8056,2014,16,63806.0,Seattle Seahawks
8057,2014,17,68453.0,Seattle Seahawks
8058,2014,1,55919.0,St. Louis Rams
8059,2014,2,59923.0,St. Louis Rams
8060,2014,3,58739.0,St. Louis Rams
8061,2014,4,67582.63539030563,St. Louis Rams
8062,2014,5,69596.0,St. Louis Rams
8063,2014,6,56851.0,St. Louis Rams
8064,2014,7,57855.0,St. Louis Rams
8065,2014,8,75972.0,St. Louis Rams
8066,2014,9,70799.0,St. Louis Rams
8067,2014,10,61363.0,St. Louis Rams
8068,2014,11,59401.0,St. Louis Rams
8069,2014,12,66040.0,St. Louis Rams
8070,2014,13,55650.0,St. Louis Rams
8071,2014,14,71120.0,St. Louis Rams
8072,2014,15,55880.0,St. Louis Rams
8073,2014,16,55851.0,St. Louis Rams
8074,2014,17,68453.0,St. Louis Rams
8075,2014,1,62442.0,Tampa Bay Buccaneers
8076,2014,2,59923.0,Tampa Bay Buccaneers
8077,2014,3,70318.0,Tampa Bay Buccaneers
8078,2014,4,62910.0,Tampa Bay Buccaneers
8079,2014,5,73004.0,Tampa Bay Buccaneers
8080,2014,6,60041.0,Tampa Bay Buccaneers
8081,2014,7,67582.63539030563,Tampa Bay Buccaneers
8082,2014,8,56577.0,Tampa Bay Buccaneers
8083,2014,9,67431.0,Tampa Bay Buccaneers
8084,2014,10,57751.0,Tampa Bay Buccaneers
8085,2014,11,77442.0,Tampa Bay Buccaneers
8086,2014,12,61109.0,Tampa Bay Buccaneers
8087,2014,13,56340.0,Tampa Bay Buccaneers
8088,2014,14,61489.0,Tampa Bay Buccaneers
8089,2014,15,72842.0,Tampa Bay Buccaneers
8090,2014,16,64247.0,Tampa Bay Buccaneers
8091,2014,17,59952.0,Tampa Bay Buccaneers
8092,2014,1,73569.0,Tennessee Titans
8093,2014,2,69143.0,Tennessee Titans
8094,2014,3,56743.0,Tennessee Titans
8095,2014,4,64757.0,Tennessee Titans
8096,2014,5,69143.0,Tennessee Titans
8097,2014,6,69143.0,Tennessee Titans
8098,2014,7,75227.0,Tennessee Titans
8099,2014,8,69143.0,Tennessee Titans
8100,2014,9,67582.63539030563,Tennessee Titans
8101,2014,10,70914.0,Tennessee Titans
8102,2014,11,69143.0,Tennessee Titans
8103,2014,12,69596.0,Tennessee Titans
8104,2014,13,71714.0,Tennessee Titans
8105,2014,14,69143.0,Tennessee Titans
8106,2014,15,69143.0,Tennessee Titans
8107,2014,16,61202.0,Tennessee Titans
8108,2014,17,69143.0,Tennessee Titans
8109,2014,1,71770.0,Washington Redskins
8110,2014,2,80037.0,Washington Redskins
8111,2014,3,69596.0,Washington Redskins
8112,2014,4,80573.0,Washington Redskins
8113,2014,5,79522.0,Washington Redskins
8114,2014,6,61139.0,Washington Redskins
8115,2014,7,75227.0,Washington Redskins
8116,2014,8,87055.0,Washington Redskins
8117,2014,9,52252.0,Washington Redskins
8118,2014,10,67582.63539030563,Washington Redskins
8119,2014,11,77442.0,Washington Redskins
8120,2014,12,70799.0,Washington Redskins
8121,2014,13,65352.0,Washington Redskins
8122,2014,14,71120.0,Washington Redskins
8123,2014,15,77628.0,Washington Redskins
8124,2014,16,78897.0,Washington Redskins
8125,2014,17,80897.0,Washington Redskins
8126,2015,1,62903.0,Arizona Cardinals
8127,2015,2,62351.0,Arizona Cardinals
8128,2015,3,63663.0,Arizona Cardinals
8129,2015,4,63146.0,Arizona Cardinals
8130,2015,5,60816.0,Arizona Cardinals
8131,2015,6,63846.0,Arizona Cardinals
8132,2015,7,64722.0,Arizona Cardinals
8133,2015,8,67431.0,Arizona Cardinals
8134,2015,9,67582.63539030563,Arizona Cardinals
8135,2015,10,69005.0,Arizona Cardinals
8136,2015,11,64745.0,Arizona Cardinals
8137,2015,12,70799.0,Arizona Cardinals
8138,2015,13,51115.0,Arizona Cardinals
8139,2015,14,64784.0,Arizona Cardinals
8140,2015,15,69596.0,Arizona Cardinals
8141,2015,16,64878.0,Arizona Cardinals
8142,2015,17,64646.0,Arizona Cardinals
8143,2015,1,70516.0,Atlanta Falcons
8144,2015,2,77678.0,Atlanta Falcons
8145,2015,3,90345.0,Atlanta Falcons
8146,2015,4,69904.0,Atlanta Falcons
8147,2015,5,70178.0,Atlanta Falcons
8148,2015,6,73018.0,Atlanta Falcons
8149,2015,7,63329.0,Atlanta Falcons
8150,2015,8,70524.0,Atlanta Falcons
8151,2015,9,70799.0,Atlanta Falcons
8152,2015,10,67582.63539030563,Atlanta Falcons
8153,2015,11,70433.0,Atlanta Falcons
8154,2015,12,70610.0,Atlanta Falcons
8155,2015,13,58221.0,Atlanta Falcons
8156,2015,14,74420.0,Atlanta Falcons
8157,2015,15,64016.0,Atlanta Falcons
8158,2015,16,70981.0,Atlanta Falcons
8159,2015,17,69699.0,Atlanta Falcons
8160,2015,1,76798.0,Baltimore Ravens
8161,2015,2,53500.0,Baltimore Ravens
8162,2015,3,70970.0,Baltimore Ravens
8163,2015,4,63929.0,Baltimore Ravens
8164,2015,5,71046.0,Baltimore Ravens
8165,2015,6,70799.0,Baltimore Ravens
8166,2015,7,64722.0,Baltimore Ravens
8167,2015,8,70829.0,Baltimore Ravens
8168,2015,9,67582.63539030563,Baltimore Ravens
8169,2015,10,70837.0,Baltimore Ravens
8170,2015,11,71105.0,Baltimore Ravens
8171,2015,12,64380.0,Baltimore Ravens
8172,2015,13,64519.0,Baltimore Ravens
8173,2015,14,71179.0,Baltimore Ravens
8174,2015,15,70791.0,Baltimore Ravens
8175,2015,16,71261.0,Baltimore Ravens
8176,2015,17,57254.0,Baltimore Ravens
8177,2015,1,70319.0,Buffalo Bills
8178,2015,2,70858.0,Buffalo Bills
8179,2015,3,64869.0,Buffalo Bills
8180,2015,4,70677.0,Buffalo Bills
8181,2015,5,65670.0,Buffalo Bills
8182,2015,6,69593.0,Buffalo Bills
8183,2015,7,84021.0,Buffalo Bills
8184,2015,8,67582.63539030563,Buffalo Bills
8185,2015,9,70214.0,Buffalo Bills
8186,2015,10,78160.0,Buffalo Bills
8187,2015,11,66829.0,Buffalo Bills
8188,2015,12,72493.0,Buffalo Bills
8189,2015,13,68544.0,Buffalo Bills
8190,2015,14,69596.0,Buffalo Bills
8191,2015,15,80124.0,Buffalo Bills
8192,2015,16,70172.0,Buffalo Bills
8193,2015,17,68670.0,Buffalo Bills
8194,2015,1,60733.0,Carolina Panthers
8195,2015,2,73254.0,Carolina Panthers
8196,2015,3,73402.0,Carolina Panthers
8197,2015,4,57468.0,Carolina Panthers
8198,2015,5,67582.63539030563,Carolina Panthers
